83,24
49,12
9,57
13,10
96,5
79,18
71,73
89,28
88,76
92,10
14,4
3,2
46,80
12,38
36,18
97,1
7,4
71,17
33,58
76,8
69,89
19,67
38,29
56,96
42,61
38,81
70,68
97,98
53,67
56,44
88,36
64,47
88,94
94,19
52,59
17,13
87,84
37,20
3,20
96,82
15,77
97,6
37,22
47,75
55,92
1,15
54,60
41,37
90,98
80,74
91,62
61,40
50,90
62,61
89,87
42,43
14,66
61,64
6,36
29,36
50,68
43,8
14,9
84,2
21,66
37,37
33,29
2,79
55,7
70,85
32,46
11,45
92,80
42,85
59,75
100,8
70,74
34,78
40,41
41,78
30,38
38,67
30,36
43,22
36,85
39,21
75,50
90,60
47,71
78,66
53,57
100,5
64,92
80,4
28,74
38,6
91,3
11,84
80,44
1,67
